fid,no,gender_code,age_code,dept_code,grade_code,ownbike_code,shared_bike_code,expense_code,WA_place_code,WA_min1_1,WA_min2_1,WA_min3_1,WA_min5_1,WA_freq_code,WB_place_code,WB_min1_1,WB_min2_1,WB_min3_1,WB_min5_1,WB_freq_code
1,qx2039,0,0.5,1,0,1,0.666666667,0.833333333,0,0.004312279,0.099972437,0.171742567,0.278832989,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
2,qx2257,0,0.5,1,0,0.666666667,0.666666667,0.666666667,0,0.215343437,0.144826802,0.165408899,0.205590389,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
3,qx2050,0,0.5,1,0,0.666666667,0.666666667,0.5,0,0.215343437,0.144826802,0.165408899,0.205590389,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
4,qx2128,0,0.5,1,0,0.666666667,0.666666667,0.5,0,0.215343437,0.144826802,0.165408899,0.205590389,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
5,qx2211,0,0.5,1,0,0.666666667,0.666666667,0.5,0,0.143028733,0.108883105,0.150344372,0.220016259,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
6,qx2055,0,0.5,1,0,0.666666667,1,0.5,0,0.215343437,0.144826802,0.165408899,0.205590389,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
7,qx2883,0,0.5,1,0,0.666666667,0.333333333,0.5,0,0.215343437,0.144826802,0.165408899,0.205590389,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
8,qx2835,0,0.5,1,0,0.666666667,0.666666667,1,0,0.215343437,0.144826802,0.165408899,0.205590389,4,1,0.813066538,0.49979998,0.526027453,0.565533905,0
9,qx2040,0,0.666666667,1,0,1,1,0.833333333,0,0.215343437,0.144826802,0.165408899,0.205590389,3,1,0.813066538,0.49979998,0.526027453,0.565533905,2
10,qx2079,0,0.833333333,1,1,0.666666667,0.666666667,0.666666667,0,0.180416884,0.147337534,0.18968878,0.275758146,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
11,qx2091,0,0.833333333,1,1,1,0.666666667,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
12,qx955,0,1,1,1,0.666666667,0.333333333,0.833333333,0,0.004312279,0.099972437,0.171742567,0.278832989,2,1,0.813066538,0.49979998,0.526027453,0.565533905,1
13,qx993,0,1,1,1,0.666666667,0.666666667,0.666666667,1,0.813066538,0.49979998,0.526027453,0.565533905,1,0,0.178610413,0.141867266,0.153504491,0.228730822,1
14,qx937,0,1,1,1,0.666666667,0.666666667,0.333333333,0,0.236490245,0.175223837,0.196139685,0.222694032,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
15,qx2250,0,1,1,0,0.333333333,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
16,qx2170,1,0.333333333,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
17,qx2575,1,0.333333333,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
18,qx2824,1,0.333333333,1,0,0.666666667,0.666666667,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
19,qx2182,1,0.333333333,1,0,0.666666667,0.666666667,0.833333333,0,0.064806297,0.071833875,0.130379733,0.21827374,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
20,qx2869,1,0.333333333,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
21,qx2234,1,0.333333333,1,0,0.666666667,0.333333333,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
22,qx2865,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.004312279,0.099972437,0.171742567,0.278832989,2,1,0.813066538,0.49979998,0.526027453,0.565533905,1
23,qx2819,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
24,qx2115,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.213623539,0.143460167,0.162616238,0.229676621,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
25,qx2847,1,0.5,1,0,0.666666667,0.666666667,0.666666667,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
26,qx2196,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
27,qx2204,1,0.5,1,0,0.666666667,0.666666667,0.333333333,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
28,qx2930,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
29,qx2152,1,0.5,1,0,0.666666667,0.666666667,0.666666667,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
30,qx2095,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
31,qx2822,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
32,qx2227,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
33,qx2072,1,0.5,1,0,0.666666667,1,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
34,qx2996,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.151393321,0.128772148,0.146515352,0.212690681,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
35,qx2200,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
36,qx2896,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
37,qx3000,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
38,qx2221,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
39,qx2177,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
40,qx2056,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
41,qx2094,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
42,qx2825,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
43,qx1338,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
44,qx2042,1,0.5,1,0,0.666666667,1,0.5,0,0.064806297,0.071833875,0.130379733,0.21827374,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
45,qx2025,1,0.5,1,0,0.333333333,0.333333333,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
46,qx2836,1,0.5,1,0,0.666666667,0.666666667,0.833333333,0,0.127817913,0.143037321,0.17004532,0.24092442,5,1,0.813066538,0.49979998,0.526027453,0.565533905,0
47,qx2828,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,4,1,0.813066538,0.49979998,0.526027453,0.565533905,0
48,qx2044,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
49,qx2082,1,0.5,1,0,0.666666667,0.666666667,0.5,0,0.131179223,0.103934494,0.137804991,0.207584446,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
50,qx2862,1,0.5,1,0,0.666666667,0.666666667,0.333333333,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
51,qx2950,1,0.5,1,0,0.666666667,0.666666667,0.333333333,0,0.064806297,0.071833875,0.130379733,0.21827374,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
52,qx2827,1,0.5,1,0,0.666666667,0.333333333,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
53,qx2045,1,0.666666667,1,1,0.666666667,0.666666667,0.5,0,0.128384983,0.107418401,0.140178924,0.189175037,2,1,0.813066538,0.49979998,0.526027453,0.565533905,2
55,qx2069,1,0.666666667,1,0,0.666666667,0.666666667,0.333333333,0,0.064806297,0.071833875,0.130379733,0.21827374,2,1,0.22170813,0.141812827,0.167705725,0.222962154,1
56,qx2047,1,0.666666667,1,0,0.666666667,0.666666667,0.166666667,0,0.188535939,0.175008059,0.234626009,0.330164516,1,1,0.22170813,0.141812827,0.167705725,0.222962154,1
57,qx2023,1,0.666666667,1,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
58,qx2028,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
59,qx2223,1,0.666666667,1,0,0.666666667,0.666666667,0.666666667,0,0.064806297,0.071833875,0.130379733,0.21827374,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
60,qx2821,1,0.666666667,1,0,0.666666667,0.666666667,0.666666667,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
61,qx2105,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
62,qx2071,1,0.666666667,1,0,0.666666667,0.666666667,0.333333333,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
63,qx2888,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
64,qx2661,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.213623539,0.143460167,0.162616238,0.229676621,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
65,qx2074,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
66,qx2099,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
67,qx2103,1,0.666666667,1,0,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
68,qx2216,1,0.666666667,1,0,0.666666667,0.666666667,0.333333333,0,0.198843693,0.164419845,0.193514577,0.250304582,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
69,qx2820,1,0.666666667,1,0,0.666666667,0.333333333,1,0,0.127817913,0.143037321,0.17004532,0.24092442,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
70,qx953,1,0.833333333,1,1,0.666666667,0.666666667,0.833333333,1,0.813066538,0.49979998,0.526027453,0.565533905,5,0,0.107598128,0.097325425,0.12324539,0.208490535,2
71,qx951,1,0.833333333,1,1,0.666666667,0.666666667,0.833333333,0,0.019933082,0.070214507,0.114742938,0.200933413,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
72,qx1010,1,0.833333333,1,1,0.333333333,0.666666667,0.5,0,0.107598128,0.097325425,0.12324539,0.208490535,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
73,qx946,1,0.833333333,1,1,1,0.666666667,0.833333333,0,0.145145056,0.438925137,0.596556993,0.778461169,3,1,0.813066538,0.49979998,0.526027453,0.565533905,0
74,qx2041,1,0.833333333,1,1,0.666666667,0.666666667,0.5,0,0.127817913,0.143037321,0.17004532,0.24092442,2,1,0.813066538,0.49979998,0.526027453,0.565533905,0
75,qx957,1,0.833333333,1,1,0.666666667,0.666666667,0.5,0,0.107598128,0.097325425,0.12324539,0.208490535,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
76,qx942,1,0.833333333,1,1,1,1,0.5,0,0.107598128,0.097325425,0.12324539,0.208490535,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
77,qx961,1,0.833333333,1,1,0.666666667,0.666666667,0.5,0,0.107598128,0.097325425,0.12324539,0.208490535,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
78,qx1076,1,0.833333333,1,1,0.666666667,0.666666667,0.5,0,0.107598128,0.097325425,0.12324539,0.208490535,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
79,qx948,1,1,1,1,0.666666667,0.666666667,0.666666667,1,0.813066538,0.49979998,0.526027453,0.565533905,2,0,0.107598128,0.097325425,0.12324539,0.208490535,1
80,qx936,1,1,1,1,0.666666667,1,0.666666667,1,0.813066538,0.49979998,0.526027453,0.565533905,2,0,0.019933082,0.070214507,0.114742938,0.200933413,1
81,qx1067,1,1,1,1,0.333333333,1,0.5,0,0.145145056,0.438925137,0.596556993,0.778461169,1,1,0.813066538,0.49979998,0.526027453,0.565533905,1
82,qx954,1,1,1,1,0.666666667,0.666666667,0.833333333,1,0.813066538,0.49979998,0.526027453,0.565533905,1,0,0.107598128,0.097325425,0.12324539,0.208490535,1
83,qx963,1,1,1,1,0.666666667,0.666666667,0.833333333,1,0.813066538,0.49979998,0.526027453,0.565533905,1,0,0.019933082,0.070214507,0.114742938,0.200933413,1
84,qx1069,1,1,1,1,0.666666667,0.666666667,0.666666667,0,0.145145056,0.438925137,0.596556993,0.778461169,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
85,qx949,1,1,1,1,0.666666667,1,0.5,0,0.24461533,0.156678963,0.162475569,0.226441768,1,1,0.813066538,0.49979998,0.526027453,0.565533905,0
86,qx934,1,1,1,1,0.666666667,0.666666667,0.666666667,1,0.813066538,0.49979998,0.526027453,0.565533905,1,0,0.107598128,0.097325425,0.12324539,0.208490535,0
87,qx933,1,1,1,1,0.666666667,0.666666667,0.5,0,0.174183896,0.138190838,0.152033103,0.203126247,0,1,0.813066538,0.49979998,0.526027453,0.565533905,0
88,qx2432,0,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.218287219,0.141634194,0.156633384,0.206330437,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
89,qx2548,0,0.5,0.666666667,0,0.666666667,0.666666667,0.333333333,0,0.218287219,0.141634194,0.156633384,0.206330437,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
90,qx2427,0,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.218287219,0.141634194,0.156633384,0.206330437,0,1,0.335307221,0.210294092,0.256314383,0.312516464,0
91,qx2544,0,0.666666667,0.666666667,0,0.666666667,0.666666667,0.833333333,0,0.218287219,0.141634194,0.156633384,0.206330437,3,1,0.335307221,0.210294092,0.256314383,0.312516464,2
92,qx2383,0,0.666666667,0.666666667,0,0.666666667,0.666666667,0.833333333,0,0.218287219,0.141634194,0.156633384,0.206330437,4,1,0.335307221,0.210294092,0.256314383,0.312516464,0
93,qx1122,1,0.333333333,0.666666667,0,0.666666667,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
94,qx2972,1,0.333333333,0.666666667,0,0.666666667,0.666666667,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,5,1,0.335307221,0.210294092,0.256314383,0.312516464,0
95,qx2991,1,0.333333333,0.666666667,0,0.666666667,0.666666667,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.335307221,0.210294092,0.256314383,0.312516464,0
96,qx3002,1,0.333333333,0.666666667,0,0.666666667,0.333333333,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.335307221,0.210294092,0.256314383,0.312516464,0
97,qx2454,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.128384983,0.107418401,0.140178924,0.189175037,2,1,0.335307221,0.210294092,0.256314383,0.312516464,2
98,qx3005,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
99,qx2433,1,0.5,0.666666667,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
100,qx2783,1,0.5,0.666666667,0,0.666666667,0.333333333,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
101,qx3015,1,0.5,0.666666667,0,0.666666667,0.666666667,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
102,qx2398,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
103,qx2527,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
104,qx2529,1,0.5,0.666666667,0,0.666666667,0.666666667,0.666666667,0,0.110639323,0.140374043,0.194985769,0.294382281,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
105,qx2442,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
106,qx2422,1,0.5,0.666666667,0,0.333333333,1,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
107,qx2980,1,0.5,0.666666667,0,0.666666667,0.333333333,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
108,qx2374,1,0.5,0.666666667,0,0.666666667,0.333333333,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
109,qx2408,1,0.5,0.666666667,0,0.666666667,0.333333333,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
110,qx2986,1,0.5,0.666666667,0,0.666666667,0.666666667,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.335307221,0.210294092,0.256314383,0.312516464,0
111,qx2436,1,0.5,0.666666667,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.335307221,0.210294092,0.256314383,0.312516464,0
113,qx2411,1,0.5,0.666666667,0,0.333333333,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,0,1,0.335307221,0.210294092,0.256314383,0.312516464,0
114,qx2351,1,0.5,0.666666667,0,0.666666667,0.333333333,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,0,1,0.335307221,0.210294092,0.256314383,0.312516464,0
115,qx2525,1,0.666666667,0.666666667,0,0.333333333,1,0.666666667,0,0.110639323,0.140374043,0.194985769,0.294382281,4,0,0.110639323,0.140374043,0.194985769,0.294382281,4
116,qx2517,1,0.666666667,0.666666667,0,0.666666667,0.666666667,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
117,qx2393,1,0.666666667,0.666666667,0,0.666666667,0.333333333,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
118,qx2794,1,0.666666667,0.666666667,0,0.666666667,0.333333333,0.5,0,0.110639323,0.140374043,0.194985769,0.294382281,3,1,0.335307221,0.210294092,0.256314383,0.312516464,0
119,qx2431,1,0.666666667,0.666666667,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.335307221,0.210294092,0.256314383,0.312516464,0
120,qx2790,1,0.666666667,0.666666667,0,0.666666667,0.666666667,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.335307221,0.210294092,0.256314383,0.312516464,0
121,qx2524,1,0.666666667,0.666666667,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.335307221,0.210294092,0.256314383,0.312516464,0
122,qx2434,1,0.666666667,0.666666667,0,0.666666667,0.666666667,0.5,1,0.335307221,0.210294092,0.256314383,0.312516464,1,0,0.205236945,0.190258392,0.248309964,0.344707279,0
123,qx2167,0,0.333333333,0.666666667,0,0.666666667,0.666666667,0.5,0,0.143028733,0.108883105,0.150344372,0.220016259,2,1,0.457340993,0.321724526,0.354984843,0.417133574,0
124,qx140,0,0.666666667,0.666666667,1,0.666666667,0.666666667,0.5,0,0.180416884,0.147337534,0.18968878,0.275758146,1,1,0.457340993,0.321724526,0.354984843,0.417133574,1
125,qx154,0,0.833333333,0.666666667,1,0.666666667,0.666666667,0.5,0,0.180416884,0.147337534,0.18968878,0.275758146,2,1,0.457340993,0.321724526,0.354984843,0.417133574,2
126,qx102,0,0.833333333,0.666666667,1,1,0.333333333,0.666666667,1,0.457340993,0.321724526,0.354984843,0.417133574,2,0,0.19961348,0.156652408,0.16933981,0.240093801,2
127,qx848,0,0.833333333,0.666666667,1,0.666666667,0.666666667,0.5,0,0.180416884,0.147337534,0.18968878,0.275758146,2,1,0.457340993,0.321724526,0.354984843,0.417133574,1
128,qx2046,0,0.833333333,0.666666667,1,0.666666667,0.666666667,0.666666667,1,0.457340993,0.321724526,0.354984843,0.417133574,1,0,0.218287219,0.141634194,0.156633384,0.206330437,1
129,qx553,0,1,0.666666667,1,0.666666667,1,0.666666667,0,0.145730782,0.09586815,0.140120527,0.203943773,2,1,0.457340993,0.321724526,0.354984843,0.417133574,3
